"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.100","3.235.82.188","TLSv1.2","272","Application Data"
"2","0.016628","3.235.82.188","192.168.0.100","TCP","66","443  >  52011 [ACK] Seq=1 Ack=207 Win=502 Len=0 TSval=3569146718 TSecr=330878718"
"3","0.059804","192.168.0.100","3.235.69.1","TLSv1.2","97","Encrypted Alert"
"4","0.061384","192.168.0.100","3.235.69.1","TCP","54","52012  >  443 [RST, ACK] Seq=32 Ack=1 Win=2047 Len=0"
"5","0.061558","192.168.0.100","3.235.69.1","TLSv1.2","97","Encrypted Alert"
"6","0.063526","192.168.0.100","3.235.69.1","TCP","54","52013  >  443 [RST, ACK] Seq=32 Ack=1 Win=2047 Len=0"
"7","0.065901","192.168.0.100","192.168.0.1","DNS","76","Standard query 0x7cac A us04www3.zoom.us"
"8","0.077068","3.235.69.1","192.168.0.100","TCP","66","443  >  52013 [ACK] Seq=1 Ack=32 Win=502 Len=0 TSval=3007854864 TSecr=330878777"
"9","0.077123","192.168.0.100","3.235.69.1","TCP","54","52013  >  443 [RST] Seq=32 Win=0 Len=0"
"10","0.077236","192.168.0.1","192.168.0.100","DNS","92","Standard query response 0x7cac A us04www3.zoom.us A 3.235.82.212"
"11","0.084580","192.168.0.100","3.235.82.212","TCP","78","52031  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=330878799 TSecr=0 SACK_PERM=1"
"12","0.091517","3.235.69.1","192.168.0.100","TCP","66","443  >  52012 [ACK] Seq=1 Ack=32 Win=502 Len=0 TSval=3007854864 TSecr=330878776"
"13","0.091606","192.168.0.100","3.235.69.1","TCP","54","52012  >  443 [RST] Seq=32 Win=0 Len=0"
"14","0.093667","3.235.82.212","192.168.0.100","TCP","74","443  >  52031 [SYN, ACK] Seq=0 Ack=1 Win=65236 Len=0 MSS=1360 SACK_PERM=1 TSval=2441307198 TSecr=330878799 WS=128"
"15","0.093784","192.168.0.100","3.235.82.212","TCP","66","52031  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0 TSval=330878808 TSecr=2441307198"
"16","0.097523","31.13.84.51","192.168.0.100","TLSv1.2","195","Application Data"
"17","0.097646","192.168.0.100","31.13.84.51","TCP","66","51994  >  443 [ACK] Seq=1 Ack=130 Win=2045 Len=0 TSval=330878811 TSecr=2576776769"
"18","0.106692","192.168.0.100","3.235.82.212","TLSv1.2","583","Client Hello"
"19","0.153061","192.168.0.100","3.235.82.212","TCP","583","[TCP Retransmission] 52031  >  443 [PSH, ACK] Seq=1 Ack=1 Win=132096 Len=517 TSval=330878866 TSecr=2441307198"
"20","0.155859","3.235.82.188","192.168.0.100","TLSv1.2","291","Application Data"
"21","0.155997","192.168.0.100","3.235.82.188","TCP","66","52011  >  443 [ACK] Seq=207 Ack=226 Win=2044 Len=0 TSval=330878868 TSecr=3569146853"
"22","0.166137","3.235.82.212","192.168.0.100","TCP","66","443  >  52031 [ACK] Seq=1 Ack=518 Win=64512 Len=0 TSval=2441307328 TSecr=330878820"
"23","0.166143","3.235.82.212","192.168.0.100","TCP","78","[TCP Dup ACK 22#1] 443  >  52031 [ACK] Seq=1 Ack=518 Win=64512 Len=0 TSval=2441307329 TSecr=330878866 SLE=1 SRE=518"
"24","0.455570","3.235.82.212","192.168.0.100","TLSv1.2","1354","Server Hello"
"25","0.455870","3.235.82.212","192.168.0.100","TCP","1354","443  >  52031 [ACK] Seq=1289 Ack=518 Win=64512 Len=1288 TSval=2441307566 TSecr=330878866 [TCP segment of a reassembled PDU]"
"26","0.455950","192.168.0.100","3.235.82.212","TCP","66","52031  >  443 [ACK] Seq=518 Ack=2577 Win=129472 Len=0 TSval=330879166 TSecr=2441307566"
"27","0.456179","3.235.82.212","192.168.0.100","TCP","1354","443  >  52031 [ACK] Seq=2577 Ack=518 Win=64512 Len=1288 TSval=2441307566 TSecr=330878866 [TCP segment of a reassembled PDU]"
"28","0.456184","3.235.82.212","192.168.0.100","TLSv1.2","510","Certificate, Server Key Exchange, Server Hello Done"
"29","0.456253","192.168.0.100","3.235.82.212","TCP","66","52031  >  443 [ACK] Seq=518 Ack=4309 Win=127744 Len=0 TSval=330879166 TSecr=2441307566"
"30","0.466168","192.168.0.100","3.235.82.212","TCP","66","[TCP Window Update] 52031  >  443 [ACK] Seq=518 Ack=4309 Win=130688 Len=0 TSval=330879176 TSecr=2441307566"
"31","0.467812","192.168.0.100","3.235.82.212","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"32","0.476539","3.235.82.212","192.168.0.100","TCP","66","443  >  52031 [ACK] Seq=4309 Ack=644 Win=64512 Len=0 TSval=2441307640 TSecr=330879177"
"33","0.625226","3.235.82.212","192.168.0.100","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"34","0.625298","192.168.0.100","3.235.82.212","TCP","66","52031  >  443 [ACK] Seq=644 Ack=4360 Win=131008 Len=0 TSval=330879334 TSecr=2441307779"
"35","0.633047","192.168.0.100","3.235.82.212","TCP","1414","52031  >  443 [ACK] Seq=644 Ack=4360 Win=131072 Len=1348 TSval=330879340 TSecr=2441307779 [TCP segment of a reassembled PDU]"
"36","0.633048","192.168.0.100","3.235.82.212","TLSv1.2","591","Application Data"
"37","0.633125","192.168.0.100","3.235.82.212","TLSv1.2","1143","Application Data"
"38","0.650264","3.235.82.212","192.168.0.100","TCP","66","443  >  52031 [ACK] Seq=4360 Ack=2517 Win=63360 Len=0 TSval=2441307813 TSecr=330879340"
"39","0.650270","3.235.82.212","192.168.0.100","TCP","66","443  >  52031 [ACK] Seq=4360 Ack=3594 Win=64256 Len=0 TSval=2441307813 TSecr=330879340"
"40","0.967430","3.235.82.212","192.168.0.100","TCP","1354","443  >  52031 [ACK] Seq=4360 Ack=3594 Win=64256 Len=1288 TSval=2441308075 TSecr=330879340 [TCP segment of a reassembled PDU]"
"41","0.967739","3.235.82.212","192.168.0.100","TCP","1354","443  >  52031 [ACK] Seq=5648 Ack=3594 Win=64256 Len=1288 TSval=2441308075 TSecr=330879340 [TCP segment of a reassembled PDU]"
"42","0.967869","192.168.0.100","3.235.82.212","TCP","66","52031  >  443 [ACK] Seq=3594 Ack=6936 Win=128448 Len=0 TSval=330879673 TSecr=2441308075"
