"No.","Time","Source","Destination","Protocol","Length","Info"
"22","6.108294","192.168.0.107","10.0.25.10","DNS","76","Standard query 0x9311 A us04www3.zoom.us"
"23","6.125545","10.0.25.10","192.168.0.107","DNS","92","Standard query response 0x9311 A us04www3.zoom.us A 3.235.69.5"
"24","6.132830","192.168.0.107","us04www3.zoom.us","TCP","78","50237  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=532758480 TSecr=0 SACK_PERM=1"
"25","6.148992","us04www3.zoom.us","192.168.0.107","TCP","74","443  >  50237 [SYN, ACK, ECN] Seq=0 Ack=1 Win=65236 Len=0 MSS=1360 SACK_PERM=1 TSval=1943028946 TSecr=532758480 WS=128"
"26","6.149106","192.168.0.107","us04www3.zoom.us","TCP","66","50237  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0 TSval=532758496 TSecr=1943028946"
"28","6.163788","192.168.0.107","us04www3.zoom.us","TLSv1.2","583","Client Hello"
"30","6.231647","us04www3.zoom.us","192.168.0.107","TCP","66","443  >  50237 [ACK] Seq=1 Ack=518 Win=64512 Len=0 TSval=1943029030 TSecr=532758510"
"33","6.485324","us04www3.zoom.us","192.168.0.107","TLSv1.2","1354","Server Hello"
"34","6.485329","us04www3.zoom.us","192.168.0.107","TCP","1354","443  >  50237 [ACK] Seq=1289 Ack=518 Win=64512 Len=1288 TSval=1943029282 TSecr=532758510 [TCP segment of a reassembled PDU]"
"35","6.485516","192.168.0.107","us04www3.zoom.us","TCP","66","50237  >  443 [ACK] Seq=518 Ack=2577 Win=129472 Len=0 TSval=532758828 TSecr=1943029282"
"36","6.486723","us04www3.zoom.us","192.168.0.107","TCP","1354","443  >  50237 [ACK] Seq=2577 Ack=518 Win=64512 Len=1288 TSval=1943029282 TSecr=532758510 [TCP segment of a reassembled PDU]"
"37","6.487481","us04www3.zoom.us","192.168.0.107","TLSv1.2","510","Certificate, Server Key Exchange, Server Hello Done"
"38","6.487584","192.168.0.107","us04www3.zoom.us","TCP","66","50237  >  443 [ACK] Seq=518 Ack=4309 Win=127744 Len=0 TSval=532758829 TSecr=1943029282"
